13:38:58-Adrianeleite-2017-06-19-13:40:01.png$[{"bounding_box": [90, 239, 415, 480], "index_emotion": 2, "faceRectangle": {"height": 480, "top": 90, "left": 239, "width": 415}, "emotion": "medo"}]
13:39:00-Adrianeleite-2017-06-19-13:40:02.png$[{"bounding_box": [60, 269, 386, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 60, "left": 269, "width": 386}, "emotion": "neutralidade"}]
13:39:02-Adrianeleite-2017-06-19-13:40:12.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "felicidade"}]
13:39:04-Adrianeleite-2017-06-19-13:39:40.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "tristeza"}]
13:39:06-Adrianeleite-2017-06-19-13:40:17.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "tristeza"}]
13:39:08-Adrianeleite-2017-06-19-13:40:21.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "tristeza"}]
13:39:10-Adrianeleite-2017-06-19-13:40:24.png$[{"bounding_box": [53, 232, 438, 480], "index_emotion": 6, "faceRectangle": {"height": 480, "top": 53, "left": 232, "width": 438}, "emotion": "neutralidade"}]
13:39:12-Adrianeleite-2017-06-19-13:40:27.png$[{"bounding_box": [90, 269, 415, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 90, "left": 269, "width": 415}, "emotion": "tristeza"}]
13:39:14-Adrianeleite-2017-06-19-13:39:43.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "tristeza"}]
13:39:16-Adrianeleite-2017-06-19-13:39:54.png$[{"bounding_box": [119, 269, 445, 480], "index_emotion": 3, "faceRectangle": {"height": 480, "top": 119, "left": 269, "width": 445}, "emotion": "felicidade"}]
13:39:20-Adrianeleite-2017-06-19-13:39:49.png$[{"bounding_box": [60, 239, 386, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 60, "left": 239, "width": 386}, "emotion": "tristeza"}]
13:39:22-Adrianeleite-2017-06-19-13:41:06.png$[{"bounding_box": [401, 425, 472, 480], "index_emotion": 4, "faceRectangle": {"height": 480, "top": 401, "left": 425, "width": 472}, "emotion": "tristeza"}, {"bounding_box": [0, 232, 366, 480], "index_emotion": 2, "faceRectangle": {"height": 480, "top": 0, "left": 232, "width": 366}, "emotion": "medo"}]
13:39:24-Adrianeleite-2017-06-19-13:39:54.png$[{"bounding_box": [90, 209, 415, 480], "index_emotion": 2, "faceRectangle": {"height": 480, "top": 90, "left": 209, "width": 415}, "emotion": "medo"}]
